"Departamento","Municipio","Cultivo","Topografia","Drenaje","Riego","pH.agua.suelo.2.5.1.0","Materia.organica..MO...","Fosforo..P..Bray.II.mg.kg","Azufre..S..Fosfato.monocalcico.mg.kg","Acidez..Al.H..KCL.cmol....kg","Aluminio..Al..intercambiable.cmol....kg","Calcio..Ca..intercambiable.cmol....kg","Magnesio..Mg..intercambiable.cmol....kg","Potasio..K..intercambiable.cmol....kg","Sodio..Na..intercambiable.cmol....kg","capacidad.de.intercambio.cationico..CICE..suma.de.bases.cmol....kg","Conductividad.el.ctrica..CE..relacion.2.5.1.0.dS.m","Hierro..Fe..disponible.olsen.mg.kg","Cobre..Cu..disponible.mg.kg","Manganeso..Mn..disponible.Olsen.mg.kg","Zinc..Zn..disponible.Olsen.mg.kg","Boro..B..disponible.mg.kg"
"CUNDINAMARCA","BOGOTÁ,  D.C.","Papa de año","Pendiente","Bueno","No cuenta con riego",4.87,16.0412507280691,64.1992,5.52356020942408,5.02845393817868,4.6431499301287,2.23477545,0.34667245,0.313187688,0.15635746,8.07944698617868,0.3741072,1685.377,4.124,17.619,8.567,0.302575107296137
"META","ACACÍAS","Citricos","Plano","Bueno","No cuenta con riego",4.68,2.11943691529476,9.16708732394366,15.2094240837696,2.83551763653889,2.52257712654178,1.72721628,0.41292943,0.15361164,0.10095295,5.23022793653889,0.1431964,605.352,1.156,3.864,1.252,0.109442060085837
"META","ACACÍAS","Cacao","Plano","Bueno","No cuenta con riego",4.79,1.22210457887377,7.81948169014084,3.29842931937173,1.38715970708377,1.11556199619975,2.0168423,0.37980094,0.096555888,0.10583314,3.98619197508377,0.1173048,324.654,1.781,3.524,1.724,0.17381974248927
"META","ACACÍAS","Cacao","Pendiente","Regular","No cuenta con riego",5.04,0.725597925868491,3.89384788732394,6.17801047120419,10.8830838783705,9.1455983472232,1.75751832,0.99240646,0.176850324,0.15415659,13.9640155723705,0.089828,67.511,1.927,17.209,4.3,0.17381974248927
"META","ACACÍAS","Cacao","Pendiente","Regular","No cuenta con riego",5.14,0.573025568955411,3.86455211267606,3.82198952879581,11.5562643244553,9.29634996833128,1.92308164,1.53622058,0.167903712,0.11119178,15.2946620364553,0.0903564,52.258,1.859,17.108,6.059,0.109442060085837
"META","ACACÍAS","Cacao","Pendiente","Bueno","No cuenta con riego",5.08,1.68240762176407,4.27469295774648,3.29842931937173,3.37610193415242,3.06528296253085,5.06768682,1.10772257,0.122833044,0.37520049,10.0495448581524,0.1828264,331.111,3.147,8.843,3.357,0.109442060085837
"CASANARE","SÁCAMA","Café","Plano","Bueno","No indica",5.06,6.60762432096885,5.60765070422535,5.13089005235602,1.4993564480979,1.36681469804654,2.4527086,0.57006347,0.134818128,0.11444524,4.7713918860979,0.2414788,283.701,1.489,8.114,1.59,0.0879828326180258
"CASANARE","SÁCAMA","Café","Plano","Bueno","No indica",4.34,3.56652107131154,19.6989183098592,11.9371727748691,2.63152356196775,2.37182550543371,1.49270484,0.35717219,0.140051052,0.11090471,4.73235635396775,0.309114,778.338,1.381,3.118,1.62,0.0879828326180258
"CASANARE","SÁCAMA","Café","Ondulado","Bueno","No indica",4.86,3.2805384111248,8.65441126760563,3.16753926701571,1.52995555928357,1.18591275271686,5.1118224,1.12473939,0.153836712,0.16276869,8.08312275128358,0.3070004,727.012,2.044,19.499,2.634,0.109442060085837
"BOYACÁ","MARIPÍ","Plátano","Plano","Bueno","No cuenta con riego",5.42,1.77550261920256,13.8983549295775,2.77486910994764,2.51932682095362,2.30147474891661,2.12169175,0.45348015,0.126828072,0.17721788,5.39854467295362,0.068692,353.397,1.574,2.302,1.684,0.0879828326180258
"CASANARE","YOPAL","Arroz","Plano","Regular","No cuenta con riego",5.12,2.56163815312758,165.002924143556,12.7236842105263,1.85267585776363,1.49431838707373,3.8064193,1.31807943,1.255845492,0.39319021,8.62621028976363,0.7207376,759.209,1.546,17.432,2.964,0.560085836909871
"CASANARE","YOPAL","Arroz","Plano","Regular","No cuenta con riego",4.8,2.9288461985794,35.7685032626427,2.85526315789474,2.11288314115739,1.85010847923414,1.20955643,0.4217999,0.35617644,0.15080744,4.25122335115739,0.2842792,488.73,1.281,7.02,1.164,0.281115879828326
"ATLÁNTICO","PALMAR DE VARELA","Patilla","Plano","Bueno","Goteo",5.37,1.4289823509593,30.8871411092985,85.9868421052632,0.0624497480145043,0,6.64866282,2.92526377,0.275488128,1.47965447,11.3915189360145,2.1891612,344.641,5.472,8.355,5.865,0.34549356223176
"CUNDINAMARCA","CACHIPAY","Lulo","Plano","Bueno","Aspersión",5.44,7.23860152582972,26.1059828711256,11.4078947368421,0.228982409386516,0.152481468068748,7.915859,1.71218174,0.297770256,0.13166944,10.2864628453865,0.4031692,1786.911,1.392,10.884,51.975,0.281115879828326
"SANTANDER","CHARALÁ","Pastos-brachiaria","Plano","Bueno","No cuenta con riego",5.11,6.18869683249565,6.83820146818923,4.56578947368421,1.4571607870051,1.2096863133454,1.833493,0.35011202,0.160476336,0.10420641,3.9054485530051,0.179656,1582.434,1.597,2.22,4.132,0.238197424892704
